Année;Mois;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet (min);Nombre de circulations prévues;Nombre de trains annulés;Commentaire (facultatif) annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ (min);Retard moyen de tous les trains au départ (min);Commentaire (facultatif) retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée (min);Retard moyen de tous les trains à l'arrivée (min);Commentaire (facultatif) retards à l'arrivée;% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.);% trains en retard à cause infrastructure ferroviaire (maintenance, travaux);% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux);% trains en retard à cause matériel roulant;% trains en retard à cause gestion en gare et réutilisation de matériel;% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances);Nombre trains en retard > 15min;Retard moyen trains en retard > 15min;Nombre trains en retard > 30min;Nombre trains en retard > 60min;Période;Retard pour causes externes;Retard à cause infrastructure ferroviaire;Retard à cause gestion trafic;Retard à cause matériel roulant;Retard à cause gestion en gare et réutilisation de matériel;Retard à cause prise en compte voyageurs
2019;8.0;;PARIS MONTPARNASSE;ANGOULEME;132.545774648;289.0;5.0;;172.0;3.20843023256;1.45223004695;;29.0;26.5902298851;3.95798122066;;0.310344827586;0.103448275862;0.172413793103;0.241379310345;0.103448275862;0.0689655172414;17.0;37.0294117647;9.0;3.0;2019-08;31.034482758600003;10.344827586200001;17.2413793103;24.1379310345;10.344827586200001;6.89655172414
2019;8.0;;ANGOULEME;PARIS MONTPARNASSE;133.004464286;224.0;0.0;;165.0;3.28888888889;2.3259672619;;26.0;16.0423076923;3.1896577381;;0.166666666667;0.25;0.208333333333;0.125;0.0833333333333;0.166666666667;12.0;21.2083333333;1.0;0.0;2019-08;16.6666666667;25.0;20.8333333333;12.5;8.33333333333;16.6666666667
2019;8.0;;PARIS MONTPARNASSE;NANTES;132.026030369;461.0;0.0;;292.0;3.23219178082;1.84587852495;;38.0;43.5245614035;4.51597975416;;0.297297297297;0.459459459459;0.108108108108;0.108108108108;0.0;0.027027027027;29.0;53.1942528736;22.0;9.0;2019-08;29.7297297297;45.9459459459;10.810810810800001;10.810810810800001;0.0;2.7027027027000003
2019;8.0;;PARIS MONTPARNASSE;POITIERS;99.1012396694;489.0;5.0;;304.0;3.59100877193;1.88584710744;;58.0;20.0235632184;2.8069214876;;0.235294117647;0.196078431373;0.254901960784;0.21568627451;0.0392156862745;0.0588235294118;20.0;41.35;9.0;6.0;2019-08;23.5294117647;19.607843137299998;25.4901960784;21.568627451;3.9215686274499997;5.882352941180001
2019;8.0;;PARIS MONTPARNASSE;QUIMPER;225.917431193;218.0;0.0;;131.0;5.53575063613;3.06796636086;;13.0;38.0;3.11009174312;;0.166666666667;0.416666666667;0.0833333333333;0.166666666667;0.0;0.166666666667;13.0;38.0;6.0;2.0;2019-08;16.6666666667;41.666666666699996;8.33333333333;16.6666666667;0.0;16.6666666667
2019;8.0;;RENNES;PARIS MONTPARNASSE;104.288256228;571.0;9.0;;406.0;4.11403940887;2.90931198102;;49.0;25.4894557823;3.24294187426;;0.195652173913;0.195652173913;0.130434782609;0.347826086957;0.0217391304348;0.108695652174;34.0;31.4754901961;13.0;2.0;2019-08;19.5652173913;19.5652173913;13.043478260899999;34.7826086957;2.1739130434800003;10.8695652174
2019;8.0;;PARIS MONTPARNASSE;TOURS;79.3402777778;144.0;0.0;;88.0;3.59659090909;1.97951388889;;21.0;14.196031746;2.62986111111;;0.142857142857;0.238095238095;0.428571428571;0.190476190476;0.0;0.0;5.0;31.5166666667;3.0;0.0;2019-08;14.2857142857;23.8095238095;42.8571428571;19.0476190476;0.0;0.0
2019;8.0;;PARIS EST;NANCY;95.9436619718;284.0;0.0;;215.0;1.95914728682;1.42306338028;;10.0;37.2366666667;1.23656103286;;0.3;0.0;0.2;0.3;0.2;0.0;10.0;47.6740740741;7.0;2.0;2019-08;30.0;0.0;20.0;30.0;20.0;0.0
2019;8.0;;PARIS EST;REIMS;46.0483091787;207.0;0.0;;170.0;1.59656862745;1.26755233494;;15.0;12.6388888889;1.06747181965;;0.0714285714286;0.357142857143;0.214285714286;0.214285714286;0.0714285714286;0.0714285714286;3.0;27.4388888889;1.0;0.0;2019-08;7.14285714286;35.7142857143;21.428571428599998;21.428571428599998;7.14285714286;7.14285714286
2019;8.0;;PARIS NORD;LILLE;62.5764705882;427.0;2.0;;321.0;21.887642783;16.4376078431;;47.0;21.0017730496;2.05498039216;;0.173913043478;0.152173913043;0.130434782609;0.45652173913;0.0652173913043;0.0217391304348;25.0;31.586;9.0;3.0;2019-08;17.3913043478;15.217391304299998;13.043478260899999;45.652173913;6.52173913043;2.1739130434800003
